learner,csl_variant,config,arm,split_seed,model_seed,baseline_model_seed,exact_seed_match,matched_by_determinism,same_test_observations,baseline_pr_auc,csl_pr_auc,delta_pr_auc,baseline_ner,csl_ner,delta_ner,R_train_baseline,R_train_csl,R_eval
random_forest,rus,G,core_class_constant,789,456,456,True,False,True,0.8220793385528772,0.7574319556841107,-0.06464738286876648,0.10722514881424791,0.11489910727443826,0.007673958460190353,1.0,773.7010836478753,773.7010836478753
random_forest,rus,G,core_class_constant,789,789,789,True,False,True,0.8240651548913299,0.7758171764951006,-0.048247978396229296,0.10752889112611544,0.11517113726649171,0.0076422461403762715,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,123,123,123,True,False,True,0.8270090245568442,0.7923325320070788,-0.03467649254976546,0.10986123003387163,0.12830071927032113,0.018439489236449502,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,123,42,42,True,False,True,0.8283846305647891,0.788831718913748,-0.03955291165104102,0.11067290697703101,0.12593616054651047,0.015263253569479454,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,123,456,456,True,False,True,0.8264158770557622,0.7892557931722788,-0.037160083883483463,0.1110388482989203,0.12252626686599438,0.011487418567074081,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,123,789,789,True,False,True,0.8280678255017108,0.7895448533793314,-0.03852297212237932,0.1096049365128309,0.13120670954880542,0.02160177303597452,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,42,123,123,True,False,True,0.7993036154324304,0.7579668975920719,-0.04133671784035853,0.12504391969288337,0.14330190359512407,0.018257983902240704,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,42,42,42,True,False,True,0.7967497221433496,0.7547537636331109,-0.04199595851023874,0.13235457662914663,0.14293515255295597,0.010580575923809343,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,42,456,456,True,False,True,0.7949283079988327,0.7559699332137111,-0.03895837478512165,0.12677755993371437,0.13953080658681588,0.012753246653101513,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,42,789,789,True,False,True,0.7946899724099898,0.7558115411136781,-0.038878431296311744,0.12493396966799634,0.13705388604941582,0.012119916381419474,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,456,123,123,True,False,True,0.8166914233191555,0.7844875261954999,-0.03220389712365557,0.1195501809206597,0.13302533810163394,0.013475157180974251,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,456,42,42,True,False,True,0.8167331044455801,0.7826413514747707,-0.034091752970809464,0.11408993907181778,0.14354182209148847,0.029451883019670694,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,456,456,456,True,False,True,0.818425560312881,0.784613000258239,-0.03381256005464206,0.11898670693803937,0.13663967484789197,0.0176529679098526,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,456,789,789,True,False,True,0.820746555323804,0.783574917883625,-0.03717163744017904,0.11648996185772197,0.13990943403735184,0.023419472179629877,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,789,123,123,True,False,True,0.8262754227918255,0.779445282535494,-0.046830140256331476,0.10355194288731476,0.12447749231973353,0.02092554943241877,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,789,42,42,True,False,True,0.824819523851171,0.7804062872949112,-0.04441323655625973,0.1060345308279852,0.11995377008408513,0.013919239256099933,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,789,456,456,True,False,True,0.8220793385528772,0.7816685645448076,-0.04041077400806958,0.10722514881424791,0.11466044314834334,0.007435294334095427,1.0,773.7010836478753,773.7010836478753
random_forest,instance_weighted,F,sensitivity,789,789,789,True,False,True,0.8240651548913299,0.780865479242509,-0.04319967564882088,0.10752889112611544,0.1260692020974117,0.01854031097129627,1.0,773.7010836478753,773.7010836478753
xgboost,weighted,E,core_class_constant,123,123,123,True,False,True,0.841324853088602,0.8283351647239205,-0.012989688364681506,0.10979420744644507,0.11675194551909088,0.006957738072645811,1.0,773.7010836478753,773.7010836478753
xgboost,weighted,E,core_class_constant,123,42,42,True,False,True,0.8409199819693604,0.8248751773828585,-0.016044804586501815,0.11235129271843788,0.11949416817867758,0.0071428754602397004,1.0,773.7010836478753,773.7010836478753
xgboost,weighted,E,core_class_constant,123,456,456,True,False,True,0.8426204388549638,0.8246323655951001,-0.017988073259863735,0.10846584402077068,0.11910770091395755,0.010641856893186863,1.0,773.7010836478753,773.7010836478753
xgboost,weighted,E,core_class_constant,123,789,789,True,False,True,0.843971650147884,0.8251705528729397,-0.01880109727494428,0.10819622581741964,0.11656929413497805,0.008373068317558408,1.0,773.7010836478753,773.7010836478753
xgboost,weighted,E,core_class_constant,42,123,123,True,False,True,0.815903493251223,0.793669041176051,-0.02223445207517205,0.13115723077301708,0.14675556853896626,0.015598337765949183,1.0,773.7010836478753,773.7010836478753
xgboost,weighted,E,core_class_constant,42,42,42,True,False,True,0.817257678698113,0.7977492432799025,-0.019508435418210568,0.13137587645252166,0.14225105502962937,0.010875178577107708,1.0,773.7010836478753,773.7010836478753
xgboost,weighted,E,core_class_constant,42,456,456,True,False,True,0.8166811773286371,0.7979451040239316,-0.018736073304705503,0.1340449985770076,0.1493712949823744,0.015326296405366785,1.0,773.7010836478753,773.7010836478753
