R,learner,variant,ner,recall,n_flagged,threshold
773.7010836478753,decision_tree,rus,0.1460747781079285,0.8952922077922078,40534,0.5492957830429077
773.7010836478753,random_forest,unweighted,0.13235457662914663,0.8896103896103896,22033,0.0025640910025686026
773.7010836478753,random_forest,weighted,0.14681061776618845,0.8936688311688312,39686,0.19290681183338165
773.7010836478753,random_forest,instance_weighted,0.14293515255295597,0.887987012987013,30569,0.14920426905155182
773.7010836478753,random_forest,rus,0.13991056871872698,0.9123376623376623,50927,0.4421108663082123
773.7010836478753,xgboost,unweighted,0.13137587645252166,0.8871753246753247,18776,0.0019162173848599195
773.7010836478753,xgboost,weighted,0.14225105502962937,0.8741883116883117,16747,0.4471830129623413
773.7010836478753,xgboost,instance_weighted,0.14639668004804002,0.8676948051948052,14501,0.379707396030426
773.7010836478753,xgboost,rus,0.13549400828044608,0.885551948051948,21152,0.7540422081947327
1000.0,logistic_regression,unweighted,0.22714691558441558,0.827922077922078,68865,0.0016911260318011045
1000.0,logistic_regression,weighted,0.2000706168831169,0.8441558441558441,55527,0.5718259811401367
1000.0,logistic_regression,instance_weighted,0.21203896103896103,0.8465909090909091,73275,0.4424445331096649
1000.0,logistic_regression,rus,0.1988547077922078,0.8482142857142857,59034,0.5665059685707092
1000.0,decision_tree,unweighted,0.14751623376623377,0.8701298701298701,22812,0.003926701378077269
1000.0,decision_tree,weighted,0.1274943181818182,0.9066558441558441,43190,0.4591658413410187
1000.0,decision_tree,instance_weighted,0.13446103896103895,0.8936688311688312,35757,0.3630135953426361
1000.0,decision_tree,rus,0.13253814935064934,0.9196428571428571,65420,0.4268292784690857
1000.0,random_forest,unweighted,0.11613717532467532,0.922077922077922,48217,0.0008934243232943118
1000.0,random_forest,weighted,0.13816720779220779,0.8993506493506493,47330,0.1788288652896881
1000.0,random_forest,instance_weighted,0.1359375,0.887987012987013,30569,0.14920426905155182
1000.0,random_forest,rus,0.12808685064935066,0.9123376623376623,50927,0.4421108663082123
1000.0,xgboost,unweighted,0.11712012987012987,0.9196428571428571,46425,0.0008026054129004478
1000.0,xgboost,weighted,0.13367938311688313,0.890422077922078,30790,0.3119533658027649
1000.0,xgboost,instance_weighted,0.13628652597402596,0.8831168831168831,24993,0.2647092044353485
1000.0,xgboost,rus,0.12441883116883116,0.9172077922077922,52414,0.45029622316360474
2000.0,logistic_regression,unweighted,0.16346834415584416,0.9326298701298701,237935,0.0003381934075150639
2000.0,logistic_regression,weighted,0.14704099025974027,0.9066558441558441,133426,0.4134901762008667
2000.0,logistic_regression,instance_weighted,0.16483035714285715,0.8969155844155844,153247,0.26960062980651855
2000.0,logistic_regression,rus,0.1473380681818182,0.9050324675324676,130156,0.41845399141311646
2000.0,decision_tree,unweighted,0.13869318181818183,0.8701298701298701,22812,0.003926701378077269
2000.0,decision_tree,weighted,0.09781655844155844,0.9642857142857143,154208,0.1637566238641739
2000.0,decision_tree,instance_weighted,0.10087662337662337,0.9496753246753247,125730,0.17365384101867676
2000.0,decision_tree,rus,0.09930681818181818,0.952922077922078,129866,0.2992957830429077
2000.0,random_forest,unweighted,0.09303327922077922,0.9318181818181818,62382,0.0007127117714844644
2000.0,random_forest,weighted,0.0988125,0.9496753246753247,120644,0.1069064736366272
2000.0,random_forest,instance_weighted,0.10145251623376624,0.926948051948052,71121,0.09287451952695847
2000.0,random_forest,rus,0.08706168831168831,0.948051948051948,87688,0.34406667947769165
2000.0,xgboost,unweighted,0.09233441558441559,0.9366883116883117,72666,0.0005323556251823902
2000.0,xgboost,weighted,0.10020332792207792,0.950487012987013,126072,0.08516217768192291
2000.0,xgboost,instance_weighted,0.10826176948051948,0.9172077922077922,63887,0.1236681118607521
2000.0,xgboost,rus,0.09639853896103896,0.9301948051948052,66672,0.3663596510887146
5000.0,logistic_regression,unweighted,0.08473165584415585,0.9829545454545454,418158,6.735217903042212e-05
5000.0,logistic_regression,weighted,0.06029204545454545,0.9959415584415584,347626,0.04566718265414238
5000.0,logistic_regression,instance_weighted,0.07320503246753247,0.984577922077922,357156,0.015463403426110744
5000.0,logistic_regression,rus,0.06164659090909091,0.9951298701298701,350969,0.07198840379714966
5000.0,decision_tree,unweighted,0.05715340909090909,0.9983766233766234,343295,0.00019445417274255306
5000.0,decision_tree,weighted,0.060555194805194806,0.9642857142857143,154208,0.1637566238641739
5000.0,decision_tree,instance_weighted,0.062241558441558445,0.9918831168831169,334630,0.07275096327066422
5000.0,decision_tree,rus,0.05647224025974026,1.0,349101,0.10000000149011612
5000.0,random_forest,unweighted,0.054737987012987016,0.9691558441558441,148380,0.00033390818862244487
5000.0,random_forest,weighted,0.05549090909090909,0.9983766233766234,333054,0.034046173095703125
5000.0,random_forest,instance_weighted,0.06064025974025974,0.9715909090909091,199741,0.050896745175123215
5000.0,random_forest,rus,0.055374512987012986,0.987012987012987,262323,0.1507093906402588
5000.0,xgboost,unweighted,0.05439772727272727,0.989448051948052,271309,0.00010495241440366954
5000.0,xgboost,weighted,0.051632142857142856,0.9918831168831169,269276,0.021150117740035057
5000.0,xgboost,instance_weighted,0.056313474025974024,0.9967532467532467,328119,0.005105345044285059
5000.0,xgboost,rus,0.0576237012987013,0.9683441558441559,161155,0.1276741772890091
