learner,csl_variant,split_seed,model_seed,level,negative_retention,precision_expected,precision_observed,abs_error
decision_tree,weighted,123,123,natural,1.0,0.02468628299437473,0.0246862829943747,2.7755575615628914e-17
decision_tree,weighted,123,123,prev_0.2581pct,0.5,0.048183104241886786,0.04815947323374861,2.3631008138173815e-05
decision_tree,weighted,123,123,prev_1.2765pct,0.0999997901720798,0.20198656562466236,0.20231503778873045,0.00032847216406808877
decision_tree,weighted,123,123,prev_10pct,0.0116328598916028,0.685121641593115,0.6861332374824037,0.0010115958892887855
decision_tree,weighted,123,123,prev_11.32pct,0.0100003986730482,0.7167950030570759,0.7181022932567294,0.001307290199653477
decision_tree,weighted,123,123,prev_1pct,0.1279614588076318,0.16513795615272578,0.16530353881574242,0.00016558266301663904
decision_tree,weighted,123,123,prev_50pct,0.0012925399879558,0.9514149569891046,0.9517457258352054,0.00033076884610083734
decision_tree,weighted,123,456,natural,1.0,0.0246868171098466,0.0246868171098466,0.0
decision_tree,weighted,123,456,prev_0.2581pct,0.5,0.04818412162162162,0.048207966673702494,2.384505208087584e-05
decision_tree,weighted,123,456,prev_1.2765pct,0.0999997901720798,0.20199014136605903,0.20172935515596876,0.0002607862100902636
decision_tree,weighted,123,456,prev_10pct,0.0116328598916028,0.6851264272246663,0.6868644153475859,0.001737988122919587
decision_tree,weighted,123,456,prev_11.32pct,0.0100003986730482,0.7167995062892236,0.7182791651023197,0.0014796588130960853
decision_tree,weighted,123,456,prev_1pct,0.1279614588076318,0.1651410145605196,0.1650374786445418,0.00010353591597780931
decision_tree,weighted,123,456,prev_50pct,0.0012925399879558,0.951415982401967,0.95196492561854,0.0005489432165729502
decision_tree,weighted,123,789,natural,1.0,0.024685748902014235,0.0246857489020142,3.469446951953614e-17
decision_tree,weighted,123,789,prev_0.2581pct,0.5,0.0481820869051138,0.04817349940688849,8.587498225312573e-06
decision_tree,weighted,123,789,prev_1.2765pct,0.0999997901720798,0.20198299000986292,0.20168429518864528,0.0002986948212176377
decision_tree,weighted,123,789,prev_10pct,0.0116328598916028,0.6851168560284187,0.6840857840038008,0.0010310720246178295
decision_tree,weighted,123,789,prev_11.32pct,0.0100003986730482,0.7167904998815101,0.7160287858459456,0.0007617140355644647
decision_tree,weighted,123,789,prev_1pct,0.1279614588076318,0.16513489785821311,0.16501965627102394,0.00011524158718917432
decision_tree,weighted,123,789,prev_50pct,0.0012925399879558,0.9514139315784524,0.9505142389986535,0.0008996925797989386
decision_tree,weighted,456,42,natural,1.0,0.035159961989230284,0.0351599619892302,8.326672684688674e-17
decision_tree,weighted,456,42,prev_0.2581pct,0.5,0.06793145654834762,0.0679509572890786,1.950074073098218e-05
decision_tree,weighted,456,42,prev_1.2765pct,0.0999997901720798,0.26708414509877465,0.26754752192816195,0.0004633768293872964
decision_tree,weighted,456,42,prev_10pct,0.0116328598916028,0.7580222766206837,0.7578144998232385,0.00020777679744521382
decision_tree,weighted,456,42,prev_11.32pct,0.0100003986730482,0.7846673768755217,0.7848570225540521,0.00018964567853041459
decision_tree,weighted,456,42,prev_1pct,0.1279614588076318,0.22165837854294748,0.22207967302127943,0.0004212944783319461
decision_tree,weighted,456,42,prev_50pct,0.0012925399879558,0.9657458070727629,0.9662177312048122,0.00047192413204932837
decision_tree,weighted,456,123,natural,1.0,0.035159961989230284,0.0351599619892302,8.326672684688674e-17
decision_tree,weighted,456,123,prev_0.2581pct,0.5,0.06793145654834762,0.06800139813872969,6.99415903820666e-05
decision_tree,weighted,456,123,prev_1.2765pct,0.0999997901720798,0.26708414509877465,0.26769272723460347,0.0006085821358288168
decision_tree,weighted,456,123,prev_10pct,0.0116328598916028,0.7580222766206837,0.757512303797264,0.000509972823419691
decision_tree,weighted,456,123,prev_11.32pct,0.0100003986730482,0.7846673768755217,0.784485315253656,0.0001820616218657367
decision_tree,weighted,456,123,prev_1pct,0.1279614588076318,0.22165837854294748,0.22229446630952157,0.0006360877665740894
decision_tree,weighted,456,123,prev_50pct,0.0012925399879558,0.9657458070727629,0.966941355540595,0.0011955484678320971
decision_tree,weighted,456,456,natural,1.0,0.035159961989230284,0.0351599619892302,8.326672684688674e-17
