learner,reference,reference_R_train,R_train,split_seed,model_seed,exact_seed_match,matched_by_determinism,same_test_observations,reference_pr_auc,pr_auc,delta_pr_auc,reference_ner,ner,delta_ner
decision_tree,unweighted,1.0,2000.0,123,789,True,False,True,0.7674627863245576,0.6882904033293749,-0.0791723829951827,0.1831171704979658,0.13134606842516955,-0.051771102072796255
decision_tree,unweighted,1.0,2000.0,42,123,True,False,True,0.7297426212657876,0.6738029778863465,-0.05593964337944113,0.1526775218578796,0.1477805259823983,-0.004896995875481314
decision_tree,unweighted,1.0,2000.0,42,42,True,False,True,0.7297426212657876,0.6738029778863465,-0.05593964337944113,0.1526775218578796,0.1477805259823983,-0.004896995875481314
decision_tree,unweighted,1.0,2000.0,42,456,True,False,True,0.7297814974740391,0.6738029778863465,-0.05597851958769262,0.1526775218578796,0.1477805259823983,-0.004896995875481314
decision_tree,unweighted,1.0,2000.0,42,789,True,False,True,0.7297426212657876,0.6738029778863465,-0.05593964337944113,0.1526775218578796,0.1477805259823983,-0.004896995875481314
decision_tree,unweighted,1.0,2000.0,456,123,True,False,True,0.7511873139577037,0.6751218891045859,-0.07606542485311774,0.193050464282648,0.13613468223860073,-0.056915782044047264
decision_tree,unweighted,1.0,2000.0,456,42,True,False,True,0.7511850498051984,0.6751218891045859,-0.07606316070061248,0.1930515133807155,0.13613468223860073,-0.056916831142114765
decision_tree,unweighted,1.0,2000.0,456,456,True,False,True,0.7507019534840034,0.6751218891045859,-0.07558006437941744,0.1930515133807155,0.13613468223860073,-0.056916831142114765
decision_tree,unweighted,1.0,2000.0,456,789,True,False,True,0.7511850498051984,0.6751218891045859,-0.07606316070061248,0.1930515133807155,0.13613468223860073,-0.056916831142114765
decision_tree,unweighted,1.0,2000.0,789,123,True,False,True,0.7571897155189382,0.6865909211863048,-0.07059879433263339,0.1875312563012945,0.11989776871063196,-0.06763348759066254
decision_tree,unweighted,1.0,2000.0,789,42,True,False,True,0.7571897155189382,0.6865909211863048,-0.07059879433263339,0.1875312563012945,0.11989776871063196,-0.06763348759066254
decision_tree,unweighted,1.0,2000.0,789,456,True,False,True,0.7571744114532092,0.6865909211863048,-0.07058349026690436,0.1875354526935645,0.11989776871063196,-0.06763768398293254
decision_tree,unweighted,1.0,2000.0,789,789,True,False,True,0.7572455594467772,0.6865909211863048,-0.07065463826047236,0.1875354526935645,0.11989776871063196,-0.06763768398293254
decision_tree,unweighted,1.0,5000.0,123,123,True,False,True,0.7674547839989712,0.6783169404621416,-0.08913784353682952,0.1831234650863708,0.13451025651715662,-0.048613208569214195
decision_tree,unweighted,1.0,5000.0,123,42,True,False,True,0.7660834404692739,0.6783151479705812,-0.08776829249869267,0.1831245141844384,0.13451235471329165,-0.04861215947114675
