cell_id,learner,csl_variant,split_seed,model_seed,R_level,R_eval,threshold_B,threshold_C,threshold_gap,rules_agree,test_ner_B,test_ner_C,delta_ner_test
random_forest__unweighted__split42__model789,random_forest,unweighted,42,789,R_x1,773.7010836478753,0.0021883791778236,0.0021883791778236,0.0,True,0.1249339696679963,0.1249339696679963,0.0
random_forest__unweighted__split123__model42,random_forest,unweighted,123,42,val_class_ratio,773.6688311688312,0.000971908273641,0.000971908273641,0.0,True,0.110674847520183,0.110674847520183,0.0
random_forest__unweighted__split123__model42,random_forest,unweighted,123,42,R_x1,773.7010836478753,0.000971908273641,0.000971908273641,0.0,True,0.110672906977031,0.110672906977031,0.0
random_forest__unweighted__split123__model123,random_forest,unweighted,123,123,val_class_ratio,773.6688311688312,0.0016072592698037,0.0016072592698037,0.0,True,0.1098628322032577,0.1098628322032577,0.0
random_forest__unweighted__split123__model123,random_forest,unweighted,123,123,R_x1,773.7010836478753,0.0016072592698037,0.0016072592698037,0.0,True,0.1098612300338716,0.1098612300338716,0.0
random_forest__unweighted__split123__model456,random_forest,unweighted,123,456,val_class_ratio,773.6688311688312,0.0017935760552063,0.0017935760552063,0.0,True,0.1110403303733909,0.1110403303733909,0.0
random_forest__unweighted__split123__model456,random_forest,unweighted,123,456,R_x1,773.7010836478753,0.0017935760552063,0.0017935760552063,0.0,True,0.1110388482989203,0.1110388482989203,0.0
random_forest__unweighted__split123__model789,random_forest,unweighted,123,789,val_class_ratio,773.6688311688312,0.001629697275348,0.001629697275348,0.0,True,0.1096064941605039,0.1096064941605039,0.0
random_forest__unweighted__split123__model789,random_forest,unweighted,123,789,R_x1,773.7010836478753,0.001629697275348,0.001629697275348,0.0,True,0.1096049365128309,0.1096049365128309,0.0
random_forest__unweighted__split456__model42,random_forest,unweighted,456,42,val_class_ratio,773.6688311688312,0.0015110090607777,0.0015110090607777,0.0,True,0.1140915821766885,0.1140915821766885,0.0
random_forest__unweighted__split456__model42,random_forest,unweighted,456,42,R_x1,773.7010836478753,0.0015110090607777,0.0015110090607777,0.0,True,0.1140899390718177,0.1140899390718177,0.0
random_forest__unweighted__split456__model123,random_forest,unweighted,456,123,val_class_ratio,773.6688311688312,0.0010922804940491,0.0010922804940491,0.0,True,0.1195520178130652,0.1195520178130652,0.0
random_forest__unweighted__split456__model123,random_forest,unweighted,456,123,R_x1,773.7010836478753,0.0010922804940491,0.0010922804940491,0.0,True,0.1195501809206597,0.1195501809206597,0.0
random_forest__unweighted__split456__model456,random_forest,unweighted,456,456,val_class_ratio,773.6688311688312,0.0010174724739044,0.0010174724739044,0.0,True,0.1189886218527789,0.1189886218527789,0.0
random_forest__unweighted__split456__model456,random_forest,unweighted,456,456,R_x1,773.7010836478753,0.0010174724739044,0.0010174724739044,0.0,True,0.1189867069380393,0.1189867069380393,0.0
random_forest__unweighted__split456__model789,random_forest,unweighted,456,789,val_class_ratio,773.6688311688312,0.0013346525374799,0.0013346525374799,0.0,True,0.1164916711766139,0.1164916711766139,0.0
random_forest__unweighted__split456__model789,random_forest,unweighted,456,789,R_x1,773.7010836478753,0.0013346525374799,0.0013346525374799,0.0,True,0.1164899618577219,0.1164899618577219,0.0
random_forest__unweighted__split789__model42,random_forest,unweighted,789,42,val_class_ratio,773.6688311688312,0.0012523722834885,0.0012523722834885,0.0,True,0.1060362441704503,0.1060362441704503,0.0
random_forest__unweighted__split789__model42,random_forest,unweighted,789,42,R_x1,773.7010836478753,0.0012523722834885,0.0012523722834885,0.0,True,0.1060345308279852,0.1060345308279852,0.0
random_forest__unweighted__split789__model123,random_forest,unweighted,789,123,val_class_ratio,773.6688311688312,0.0013111376902088,0.0013111376902088,0.0,True,0.1035536204112309,0.1035536204112309,0.0
random_forest__unweighted__split789__model123,random_forest,unweighted,789,123,R_x1,773.7010836478753,0.0013111376902088,0.0013111376902088,0.0,True,0.1035519428873147,0.1035519428873147,0.0
random_forest__unweighted__split789__model456,random_forest,unweighted,789,456,val_class_ratio,773.6688311688312,0.0010401657782495,0.0010401657782495,0.0,True,0.107227013303118,0.107227013303118,0.0
random_forest__unweighted__split789__model456,random_forest,unweighted,789,456,R_x1,773.7010836478753,0.0010401657782495,0.0010401657782495,0.0,True,0.1072251488142479,0.1072251488142479,0.0
random_forest__unweighted__split789__model789,random_forest,unweighted,789,789,val_class_ratio,773.6688311688312,0.0024575323332101,0.0024575323332101,0.0,True,0.1075299223417063,0.1075299223417063,0.0
random_forest__unweighted__split789__model789,random_forest,unweighted,789,789,R_x1,773.7010836478753,0.0024575323332101,0.0024575323332101,0.0,True,0.1075288911261154,0.1075288911261154,0.0
random_forest__weighted__split42__model42,random_forest,weighted,42,42,val_class_ratio,773.6688311688312,0.1929068118333816,0.1929068118333816,0.0,True,0.1468123052615687,0.1468123052615687,0.0
random_forest__weighted__split42__model42,random_forest,weighted,42,42,R_x1,773.7010836478753,0.1929068118333816,0.1929068118333816,0.0,True,0.1468106177661884,0.1468106177661884,0.0
random_forest__weighted__split42__model123,random_forest,weighted,42,123,val_class_ratio,773.6688311688312,0.1843786388635635,0.1843786388635635,0.0,True,0.1480657027097289,0.1480657027097289,0.0
random_forest__weighted__split42__model123,random_forest,weighted,42,123,R_x1,773.7010836478753,0.1843786388635635,0.1843786388635635,0.0,True,0.1480643013253963,0.1480643013253963,0.0
random_forest__weighted__split42__model456,random_forest,weighted,42,456,val_class_ratio,773.6688311688312,0.1663933545351028,0.1663933545351028,0.0,True,0.1527123040625495,0.1527123040625495,0.0
random_forest__weighted__split42__model456,random_forest,weighted,42,456,R_x1,773.7010836478753,0.1663933545351028,0.1663933545351028,0.0,True,0.1527099984238568,0.1527099984238568,0.0
random_forest__weighted__split42__model789,random_forest,weighted,42,789,val_class_ratio,773.6688311688312,0.1887541115283966,0.1887541115283966,0.0,True,0.1443541728320779,0.1443541728320779,0.0
random_forest__weighted__split42__model789,random_forest,weighted,42,789,R_x1,773.7010836478753,0.1887541115283966,0.1887541115283966,0.0,True,0.144352689314369,0.144352689314369,0.0
random_forest__weighted__split123__model42,random_forest,weighted,123,42,val_class_ratio,773.6688311688312,0.234475091099739,0.234475091099739,0.0,True,0.1322533576625229,0.1322533576625229,0.0
random_forest__weighted__split123__model42,random_forest,weighted,123,42,R_x1,773.7010836478753,0.234475091099739,0.234475091099739,0.0,True,0.1322521755629341,0.1322521755629341,0.0
